T/T_m,Data-Centric Crystal Classifier,Common Neighbor Analysis (Diamond),Chill+
0.04,1.0,1.0,1.0
0.08,1.0,1.0,1.0
0.12,1.0,1.0,1.0
0.16,1.0,1.0,1.0
0.2,1.0,1.0,1.0
0.24,1.0,1.0,1.0
0.28,1.0,1.0,1.0
0.32,1.0,1.0,1.0
0.36,1.0,1.0,1.0
0.4,1.0,1.0,1.0
0.44,1.0,1.0,1.0
0.48,1.0,1.0,1.0
0.52,1.0,1.0,1.0
0.56,1.0,1.0,1.0
0.6,1.0,1.0,1.0
0.64,1.0,1.0,1.0
0.68,0.9998235294117647,1.0,1.0
0.72,0.9998235294117647,1.0,1.0
0.76,0.9998823529411764,1.0,1.0
0.8,0.9998235294117647,1.0,1.0
0.84,0.9999411764705882,0.999975,1.0
0.88,0.9996470588235294,0.99995,1.0
0.92,0.9991764705882353,0.9999625,1.0
0.96,0.999,0.9999625,0.999975
1.0,0.9991176470588236,0.9999375,1.0
1.04,0.9984117647058823,0.9998875,1.0
1.08,0.9984705882352941,0.999925,0.999975
1.12,0.9975294117647059,0.9997375,0.999975
1.16,0.9967058823529412,0.9992875,0.999925
1.2,0.9941764705882353,0.9990875,0.9997875
1.24,0.9939411764705882,0.9947125,0.9974125
1.28,0.502,0.4961375,0.5096625
1.32,0.4818823529411765,0.478575,0.4903875
1.36,0.37211764705882355,0.3702625,0.3817625
1.4,0.36058823529411765,0.3613125,0.37145
1.44,0.27452941176470586,0.2766625,0.285075
1.48,0.1743529411764706,0.171375,0.1799625
1.52,0.1254705882352941,0.1215625,0.13125
1.56,0.09958823529411764,0.0970375,0.103775
1.6,0.08294117647058824,0.078,0.0852875
