T/T_m,Data-Centric Crystal Classifier,Common Neighbor Analysis (Non-Diamond),Interval Common Neighbor Alaysis,Ackland-Jones Analysis,VoroTop Analysis
0.04,1.0,1.0,1.0,0.99715,1.0
0.08,1.0,1.0,1.0,0.9628,1.0
0.12,1.0,1.0,1.0,0.8976,1.0
0.16,1.0,1.0,1.0,0.82705,1.0
0.2,1.0,1.0,1.0,0.7565,1.0
0.24,1.0,0.9998,1.0,0.69395,1.0
0.28,1.0,0.99865,0.9998,0.64885,0.9997
0.32,0.9999411764705882,0.99595,0.99975,0.6026,0.9997
0.36,0.9996470588235294,0.9879,0.9983,0.56055,0.99915
0.4,0.999,0.97755,0.99745,0.5318,0.9951
0.44,0.997,0.96235,0.99285,0.51415,0.99155
0.48,0.9948235294117647,0.95055,0.98815,0.48965,0.98615
0.52,0.9914705882352941,0.92495,0.9803,0.4713,0.97485
0.56,0.9863529411764705,0.8956,0.96705,0.46325,0.9652
0.6,0.9804117647058823,0.86015,0.95095,0.4404,0.9472
0.64,0.9686470588235294,0.8161,0.9249,0.4318,0.9246
0.68,0.9607058823529412,0.77575,0.9064,0.41505,0.9095
0.72,0.9471176470588235,0.73165,0.87395,0.40535,0.87405
0.76,0.9319411764705883,0.6748,0.83065,0.4038,0.83895
0.8,0.9087647058823529,0.6297,0.79465,0.3913,0.8036
0.84,0.8910588235294118,0.58455,0.75805,0.3832,0.77365
0.88,0.8628823529411764,0.5063,0.6924,0.3671,0.72215
0.92,0.8228235294117647,0.4508,0.63785,0.36375,0.6676
0.96,0.7876470588235294,0.38235,0.5648,0.34435,0.61085
1.0,0.7620588235294118,0.3411,0.5211,0.34435,0.56715
1.04,0.7224705882352941,0.29985,0.46955,0.3362,0.52715
1.08,0.6798235294117647,0.2514,0.39985,0.3205,0.44995
1.12,0.6196470588235294,0.19855,0.3277,0.31005,0.38765
1.16,0.5355882352941177,0.13875,0.2438,0.2916,0.2965
1.2,0.47205882352941175,0.1013,0.1891,0.27495,0.242
1.24,0.11005882352941176,0.0066,0.01285,0.1493,0.01515
1.28,0.07364705882352941,0.0,0.0002,0.1409,0.00055
1.32,0.07111764705882354,0.0,0.0001,0.1354,0.0005
1.36,0.06905882352941177,0.0,0.0002,0.1312,0.00025
1.4,0.07376470588235294,5e-05,5e-05,0.12825,0.00035
1.44,0.07070588235294117,0.0,0.0,0.1168,0.00035
1.48,0.07076470588235294,5e-05,0.0001,0.11795,0.00055
1.52,0.06723529411764706,0.0,5e-05,0.1135,0.0003
1.56,0.06929411764705883,0.0,0.0001,0.11165,0.00025
1.6,0.0678235294117647,0.0,0.0,0.104,0.00025
